day	wk1	wk2	wk3	wk4	wk5	wk6	cumm	covid	country
22	1	0	0	0	0	0	0	1	7
23	1	0	0	0	0	0	1	0	7
24	1	0	0	0	0	0	1	1	7
25	1	0	0	0	0	0	2	0	7
26	1	0	0	0	0	0	2	0	7
27	1	0	0	0	0	0	2	0	7
28	1	0	0	0	0	0	2	0	7
29	1	0	0	0	0	0	2	0	7
30	0	1	0	0	0	0	2	1	7
31	0	1	0	0	0	0	3	1	7
32	0	1	0	0	0	0	4	0	7
33	0	1	0	0	0	0	4	6	7
34	0	1	0	0	0	0	10	0	7
35	0	1	0	0	0	0	10	4	7
36	0	1	0	0	0	0	14	13	7
37	0	0	1	0	0	0	27	0	7
38	0	0	1	0	0	0	27	0	7
39	0	0	1	0	0	0	27	29	7
40	0	0	1	0	0	0	56	16	7
41	0	0	1	0	0	0	72	0	7
42	0	0	1	0	0	0	72	16	7
43	0	0	1	0	0	0	88	0	7
44	0	0	0	1	0	0	88	11	7
45	0	0	0	1	0	0	99	0	7
46	0	0	0	1	0	0	99	43	7
47	0	0	0	1	0	0	142	51	7
48	0	0	0	1	0	0	193	40	7
49	0	0	0	1	0	0	233	38	7
50	0	0	0	1	0	0	271	238	7
51	0	0	0	0	1	0	509	46	7
52	0	0	0	0	1	0	555	95	7
53	0	0	0	0	1	0	650	8	7
54	0	0	0	0	1	0	658	27	7
55	0	0	0	0	1	0	685	45	7
56	0	0	0	0	1	0	730	0	7
57	0	0	0	0	1	0	730	73	7
58	0	0	0	0	0	1	803	17	7
59	0	0	0	0	0	1	820	0	7
60	0	0	0	0	0	1	820	0	7
61	0	0	0	0	0	1	820	35	7
62	0	0	0	0	0	1	855	0	7
1	1	0	0	0	0	0	0	0	8
2	1	0	0	0	0	0	0	0	8
3	1	0	0	0	0	0	0	0	8
4	1	0	0	0	0	0	0	0	8
5	1	0	0	0	0	0	0	0	8
6	1	0	0	0	0	0	0	0	8
7	1	0	0	0	0	0	0	0	8
8	1	0	0	0	0	0	0	0	8
9	1	0	0	0	0	0	0	0	8
10	1	0	0	0	0	0	0	0	8
11	1	0	0	0	0	0	0	0	8
12	1	0	0	0	0	0	0	0	8
13	1	0	0	0	0	0	0	0	8
14	1	0	0	0	0	0	0	0	8
15	1	0	0	0	0	0	0	0	8
16	1	0	0	0	0	0	0	0	8
17	1	0	0	0	0	0	0	0	8
18	1	0	0	0	0	0	0	0	8
19	1	0	0	0	0	0	0	0	8
20	1	0	0	0	0	0	0	0	8
21	1	0	0	0	0	0	0	0	8
22	1	0	0	0	0	0	0	0	8
23	1	0	0	0	0	0	0	0	8
24	1	0	0	0	0	0	0	0	8
25	1	0	0	0	0	0	0	0	8
26	1	0	0	0	0	0	0	0	8
27	1	0	0	0	0	0	0	0	8
28	1	0	0	0	0	0	0	0	8
29	1	0	0	0	0	0	0	0	8
30	0	1	0	0	0	0	0	0	8
31	0	1	0	0	0	0	0	1	8
32	0	1	0	0	0	0	1	0	8
33	0	1	0	0	0	0	1	0	8
34	0	1	0	0	0	0	1	0	8
35	0	1	0	0	0	0	1	0	8
36	0	1	0	0	0	0	1	0	8
37	0	0	1	0	0	0	1	2	8
38	0	0	1	0	0	0	3	1	8
39	0	0	1	0	0	0	4	0	8
